Escola,CodEscola,Valor Unitário Carga Horária
ESCOLA  AE,ABC28,"31,39"
ESCOLA A,ABC1,"29,27"
ESCOLA AA,ABC24,"27,21"
ESCOLA AB,ABC25,"27,21"
ESCOLA AC,ABC26,"29,27"
ESCOLA AD ,ABC27,"23,09"
ESCOLA AF,ABC29,"27,21"
ESCOLA AG,ABC30,"27,21"
ESCOLA AH ,ABC31,"23,09"
ESCOLA AI,ABC32,"23,09"
ESCOLA B ,ABC2,"23,09"
ESCOLA C,ABC3,"29,27"
ESCOLA D ,ABC4,"29,27"
ESCOLA E,ABC5,"29,27"
ESCOLA F,ABC6,"27,21"
ESCOLA G,ABC7,"23,09"
ESCOLA H ,ABC8,"27,21"
ESCOLA I ,ABC9,"31,39"
ESCOLA J,ABC10,"29,27"
ESCOLA K,ABC11,"23,09"
ESCOLA L,ABC12,"27,21"
ESCOLA M,ABC13,"27,21"
ESCOLA N ,ABC14,"29,27"
ESCOLA O ,ABC15,"29,27"
ESCOLA P ,ABC16,"23,09"
ESCOLA Q ,ABC17,"23,09"
ESCOLA R,ABC18,"29,27"
ESCOLA S,ABC19,"31,39"
ESCOLA U ,ABC20,"23,09"
ESCOLA W ,ABC21,"23,09"
ESCOLA Y,ABC22,"27,21"
ESCOLA Z,ABC23,"23,09"